,File_Name,Bbox,Height,Width,Disease_Name
869,train_505.png,"[990.0, 694.0, 269.0, 327.0]",1316,2930,caries
26,train_95.png,"[1784.0, 460.0, 118.0, 348.0]",1504,2872,caries
498,train_153.png,"[1399.0, 352.0, 114.0, 336.0]",1316,2882,caries
3259,train_647.png,"[1869.185185185185, 656.0, 264.814814814815, 312.7037037037037]",1316,2935,caries
196,train_669.png,"[1719.0, 740.0, 237.0, 301.0]",1316,2984,caries
1495,train_308.png,"[949.1578947368421, 746.0, 109.84210526315792, 355.0]",1316,2692,caries
912,train_415.png,"[2077.0, 634.0, 180.0, 255.0]",1316,2964,impacted
613,train_112.png,"[701.0, 517.5, 109.0, 207.5]",976,1976,caries
2692,train_420.png,"[659.1836734693877, 746.7755102040816, 206.12244897959192, 195.9183673469388]",1504,2884,deep_caries
454,train_441.png,"[2020.0, 812.0, 203.0, 361.0]",1504,2884,caries
1505,train_171.png,"[1877.6990291262136, 730.9223300970874, 239.80582524271813, 287.37864077669894]",1316,2882,caries
150,train_348.png,"[1889.0, 980.0, 236.0, 332.0]",1504,2872,caries
119,train_693.png,"[2019.0, 687.0, 220.0, 219.0]",1316,2827,impacted
3029,train_307.png,"[1644.0, 294.0, 146.0, 380.0]",1316,2893,caries
1116,train_402.png,"[611.2903225806451, 657.258064516129, 220.9677419354839, 247.58064516129036]",1316,2823,caries
510,train_687.png,"[782.6086956521739, 354.3478260869565, 196.73913043478262, 291.304347826087]",1316,2883,deep_caries
841,train_485.png,"[892.9824561403508, 424.5614035087719, 156.14035087719287, 292.98245614035085]",1316,2802,caries
2722,train_575.png,"[1856.0, 369.0, 205.0, 249.0]",1504,2556,impacted
1797,train_219.png,"[1682.0, 494.0, 106.0, 342.0]",1504,2688,caries
1449,train_665.png,"[989.0410958904109, 702.2465753424658, 227.39726027397262, 327.3972602739725]",1316,2929,caries
194,train_499.png,"[745.5555555555555, 692.2222222222222, 157.77777777777771, 163.33333333333337]",1316,2940,impacted
3444,train_558.png,"[514.0, 706.0, 233.0, 278.0]",1504,2868,impacted
3411,train_335.png,"[1804.3478260869565, 456.52173913043475, 161.95652173913027, 235.86956521739125]",1316,2659,caries
1347,train_454.png,"[1889.0, 429.0, 182.0, 253.0]",1316,2981,caries
2116,train_639.png,"[1866.0, 661.1818181818181, 229.18181818181802, 278.81818181818187]",1316,2852,periapical
1848,train_27.png,"[549.0, 618.0, 199.0, 208.0]",1316,2822,impacted
3392,train_525.png,"[1831.0, 514.0, 235.0, 297.0]",1316,2657,caries
1273,train_358.png,"[1736.6336633663366, 729.7029702970297, 232.67326732673268, 349.50495049504957]",1316,2862,caries
1049,train_362.png,"[847.0, 929.0, 243.0, 287.0]",1504,2872,caries
641,train_452.png,"[2089.0, 714.0, 187.0, 274.0]",1504,2872,impacted
1298,train_343.png,"[873.4567901234567, 771.6049382716049, 196.29629629629642, 277.7777777777778]",1316,2772,deep_caries
1369,train_477.png,"[2104.0, 865.0, 229.0, 313.0]",1504,2888,deep_caries
2225,train_321.png,"[717.0, 833.0, 252.0, 277.0]",1504,2872,caries
1946,train_562.png,"[2155.0, 274.0, 210.0, 285.0]",1504,2868,impacted
3182,train_139.png,"[652.0, 404.0, 136.0, 238.0]",1316,2831,deep_caries
532,train_480.png,"[919.0, 836.0, 76.0, 302.0]",1504,2444,caries
1940,train_562.png,"[852.0, 795.0, 250.0, 350.0]",1504,2868,caries
2311,train_1.png,"[1978.125, 723.9583333333334, 144.79166666666697, 301.04166666666663]",1316,2750,impacted
2319,train_100.png,"[1862.0, 801.0, 267.0, 270.0]",1504,2872,caries
3350,train_34.png,"[2069.0, 535.0, 157.0, 339.0]",1504,2872,caries
592,train_188.png,"[2072.0, 616.0, 263.0, 342.0]",1504,2872,deep_caries
506,train_137.png,"[1996.0, 573.0, 185.0, 313.0]",1504,2884,caries
627,train_385.png,"[1708.3636363636363, 271.18181818181813, 110.90909090909076, 318.18181818181813]",1316,2888,caries
551,train_5.png,"[978.0, 803.0, 129.0, 305.8378378378379]",1316,2750,caries
1780,train_51.png,"[1708.0, 411.2, 100.79999999999995, 332.00000000000006]",1316,2951,caries
209,train_440.png,"[1812.0, 427.0, 127.0, 254.0]",1316,2750,deep_caries
1234,train_261.png,"[1750.625, 398.0, 162.0, 260.0]",1316,2923,caries
770,train_704.png,"[903.1914893617021, 891.4893617021276, 212.76595744680856, 309.57446808510645]",1504,2880,caries
1903,train_293.png,"[979.0, 317.0, 145.0, 304.0]",1316,2856,deep_caries
226,train_383.png,"[1900.0, 893.0, 235.0, 287.0]",1504,2872,caries
175,train_289.png,"[1390.0, 505.0, 112.0, 347.0]",1504,2868,caries
2509,train_267.png,"[1888.0, 252.0, 173.0, 209.0]",1316,2858,impacted
2355,train_638.png,"[1852.811320754717, 700.0566037735848, 224.5283018867924, 301.88679245283015]",1316,2972,caries
67,train_498.png,"[2031.0, 647.0, 157.0, 253.0]",1316,2910,impacted
268,train_54.png,"[649.0, 606.0, 180.0, 236.0]",1316,2904,impacted
1722,train_636.png,"[1908.0, 852.0, 140.0, 394.66666666666674]",1504,2880,caries
296,train_655.png,"[1924.0, 434.0, 167.0, 204.0]",1316,2786,impacted
2273,train_403.png,"[1652.0, 780.0, 177.0, 334.0]",1504,2512,caries
1727,train_281.png,"[659.2857142857142, 429.3571428571428, 180.3571428571429, 167.8571428571429]",1316,2836,impacted
406,train_117.png,"[1057.0, 656.0, 154.0, 307.0]",1316,2817,caries
2729,train_554.png,"[1845.0, 545.0, 249.0, 277.0]",1316,2933,caries
626,train_385.png,"[1592.8181818181818, 234.36363636363632, 87.27272727272725, 378.1818181818182]",1316,2888,caries
2941,train_201.png,"[1065.0, 909.0, 166.0, 322.0]",1504,2868,deep_caries
778,train_428.png,"[883.0, 784.0, 280.0, 330.0]",1536,3076,caries
1249,train_696.png,"[1793.125, 677.875, 241.0, 433.0]",1316,2965,periapical
3468,train_668.png,"[1638.9610389610389, 444.15584415584414, 118.18181818181802, 279.2207792207792]",1316,2871,deep_caries
23,train_95.png,"[716.0, 562.0, 189.0, 308.0]",1504,2872,caries
267,train_654.png,"[2056.0, 760.0, 247.0, 303.0]",1504,2868,caries
1907,train_293.png,"[1801.3513513513515, 305.3783783783784, 182.43243243243228, 327.02702702702703]",1316,2856,periapical
1335,train_460.png,"[1882.0, 844.0, 271.0, 275.0]",1504,2872,deep_caries
952,train_84.png,"[1728.8245614035086, 717.5087719298244, 214.0350877192982, 359.6491228070174]",1316,2794,caries
531,train_480.png,"[205.0, 798.0, 192.0, 248.0]",1504,2444,caries
1924,train_688.png,"[1051.0, 666.0, 158.0, 354.0]",1316,2864,caries
1139,train_143.png,"[862.0, 286.0, 156.0, 314.0]",1316,2932,deep_caries
2809,train_270.png,"[1742.0, 615.0, 128.0, 301.0]",1504,2868,caries
2835,train_339.png,"[1803.0, 476.0, 161.0, 298.0]",1316,2922,caries
160,train_176.png,"[985.1239669421487, 481.8181818181818, 149.58677685950408, 288.4297520661158]",1504,2868,caries
1959,train_624.png,"[1344.9152542372883, 435.5932203389831, 152.54237288135573, 123.72881355932202]",976,1976,impacted
177,train_289.png,"[1585.0, 486.0, 88.0, 363.0]",1504,2868,caries
339,train_663.png,"[1177.9141104294479, 312.2699386503067, 68.09815950920233, 200.61349693251532]",976,1976,caries
596,train_686.png,"[1069.0, 791.0, 219.0, 357.0]",1504,2872,periapical
1393,train_195.png,"[810.0, 966.0, 143.0, 170.0]",1504,2872,impacted
1040,train_356.png,"[1512.0, 764.0, 108.0, 362.0]",1316,2799,caries
1560,train_93.png,"[1734.0, 798.0, 242.0, 303.0]",1316,2953,caries
218,train_41.png,"[1124.0, 266.6153846153846, 119.0, 235.38461538461542]",976,1976,deep_caries
2147,train_478.png,"[1925.3571428571427, 789.642857142857, 210.71428571428578, 283.92857142857144]",1316,2830,caries
359,train_292.png,"[1785.0, 396.0, 149.0, 196.0]",1316,2666,impacted
1426,train_609.png,"[2064.0, 678.0, 167.0, 280.0]",1316,2809,impacted
1118,train_277.png,"[701.0, 336.8461538461538, 66.46153846153845, 198.1538461538462]",976,1976,caries
208,train_440.png,"[774.0, 715.0, 268.0, 259.0]",1316,2750,deep_caries
2723,train_575.png,"[651.0, 822.0, 168.0, 146.0]",1504,2556,deep_caries
1173,train_464.png,"[2094.0, 768.0, 242.0, 230.0]",1504,2872,deep_caries
1303,train_343.png,"[893.0, 758.0, 183.0, 260.0]",1316,2772,caries
893,train_29.png,"[757.0, 690.0, 241.0, 317.0]",1316,2810,caries
903,train_372.png,"[2013.5802469135801, 737.037037037037, 204.9382716049381, 274.07407407407413]",1316,2802,impacted
1632,train_280.png,"[799.0, 403.0, 175.0, 325.0]",1316,2844,caries
2060,train_244.png,"[516.0, 877.0, 242.0, 301.0]",1504,2548,deep_caries
2636,train_272.png,"[2054.0, 404.0, 122.0, 188.0]",1504,2868,deep_caries
1022,train_16.png,"[1681.0, 855.0, 159.0, 344.0]",1536,3076,caries
2812,train_18.png,"[607.0, 782.0, 206.0, 246.0]",1504,2872,impacted
1977,train_150.png,"[1965.0, 318.0, 147.0, 320.0]",1316,2802,deep_caries
1064,train_391.png,"[808.0, 433.0, 166.0, 317.0]",1504,2884,caries
766,train_704.png,"[1731.914893617021, 885.1063829787233, 109.57446808510645, 312.76595744680844]",1504,2880,caries
250,train_209.png,"[1250.0, 420.0, 165.0, 192.5]",976,1976,caries
2804,train_371.png,"[961.0, 727.0, 239.0, 270.0]",1316,2886,caries
471,train_694.png,"[2038.0, 898.0, 196.0, 309.0]",1504,2872,caries
3511,train_344.png,"[1042.0, 418.0, 96.0, 293.0]",1316,2850,deep_caries
1956,train_624.png,"[1146.6101694915255, 252.54237288135596, 111.86440677966107, 217.79661016949154]",976,1976,caries
235,train_536.png,"[2055.0, 443.42857142857133, 157.0, 262.57142857142867]",1316,2900,impacted
2305,train_387.png,"[1705.0, 767.0, 178.0, 283.0]",1316,2731,deep_caries
3073,train_397.png,"[985.0, 395.0, 145.0, 302.0]",1316,3002,caries
751,train_451.png,"[799.0, 439.0, 144.10526315789468, 297.8070175438595]",1316,2789,caries
1077,train_391.png,"[683.0, 426.0, 199.0, 268.0]",1504,2884,deep_caries
3305,train_463.png,"[1842.0, 777.0, 215.0, 147.0]",1316,2824,deep_caries
51,train_187.png,"[1860.0, 734.0, 214.0, 253.0]",1316,2815,caries
2968,train_189.png,"[1814.0, 811.0, 242.0, 281.0]",1504,2580,caries
2362,train_146.png,"[484.5360824742268, 271.1340206185567, 96.90721649484539, 227.83505154639175]",976,1976,caries
2728,train_554.png,"[2014.0, 530.0, 216.0, 279.0]",1316,2933,impacted
2483,train_77.png,"[2042.0, 506.0, 151.0, 289.0]",1504,2872,caries
2149,train_59.png,"[742.5742574257425, 343.56435643564356, 178.21782178217825, 255.44554455445547]",1316,2862,caries
513,train_545.png,"[716.0, 892.0, 240.0, 242.0]",1504,2872,impacted
2296,train_387.png,"[800.0, 456.89655172413796, 144.82758620689663, 329.3103448275862]",1316,2731,caries
295,train_655.png,"[718.0, 427.0, 167.0, 199.0]",1316,2786,impacted
2215,train_67.png,"[1856.0, 445.0, 173.0, 326.0]",1504,2872,caries
1286,train_49.png,"[582.0, 467.0, 170.0, 222.5]",976,1976,caries
2855,train_192.png,"[1849.0, 667.0, 156.0, 253.0]",1504,2872,caries
2994,train_550.png,"[791.0, 805.0, 271.0, 294.0]",1504,2872,caries
291,train_655.png,"[1746.5675675675675, 830.0, 195.4324324324325, 281.0]",1316,2786,deep_caries
263,train_654.png,"[1829.0, 776.0, 136.0, 320.0]",1504,2868,caries
1540,train_128.png,"[675.0, 710.0, 156.0, 189.0]",1316,2851,impacted
27,train_95.png,"[1867.0, 467.0, 176.0, 345.0]",1504,2872,caries
2015,train_632.png,"[747.0, 393.2222222222223, 153.8888888888889, 263.8888888888889]",1316,2822,impacted
831,train_255.png,"[2024.0, 721.0, 212.0, 189.0]",1316,2954,impacted
3220,train_275.png,"[738.0, 526.0, 158.0, 284.0]",1504,2872,deep_caries
537,train_231.png,"[669.0, 394.0, 219.0, 229.0]",1316,2745,impacted
959,train_467.png,"[1396.0, 861.0, 111.0, 342.0]",1504,2540,caries
2294,train_552.png,"[1172.5868725868727, 308.1081081081081, 88.41698841698849, 187.64478764478764]",976,1976,caries
1473,train_181.png,"[691.0, 540.0, 222.0, 192.0]",1504,2872,impacted
1850,train_27.png,"[676.0, 608.0, 232.0, 269.0]",1316,2822,deep_caries
1146,train_80.png,"[1574.0, 473.7027027027027, 118.0, 299.2972972972973]",1316,2728,caries
2969,train_189.png,"[485.0, 571.0, 133.0, 246.0]",1504,2580,caries
2739,train_494.png,"[489.0, 712.0, 226.0, 269.0]",1504,2612,deep_caries
3517,train_599.png,"[2035.0, 498.0, 171.0, 316.0]",1504,2872,caries
3144,train_642.png,"[749.0, 649.0, 215.0, 270.0]",1316,2879,caries
262,train_654.png,"[1107.0, 790.0, 125.0, 308.0]",1504,2868,caries
1646,train_200.png,"[1054.0, 432.0, 132.0, 204.0]",1316,2936,deep_caries
2301,train_387.png,"[1711.0689655172414, 770.4137931034484, 177.9310344827586, 314.58620689655163]",1316,2731,periapical
2077,train_488.png,"[1656.25, 392.875, 109.375, 150.0]",1316,2741,deep_caries
476,train_431.png,"[941.3333333333334, 357.1111111111111, 118.66666666666663, 329.8888888888889]",1316,2838,caries
1794,train_219.png,"[735.0, 852.0, 215.0, 308.0]",1504,2688,deep_caries
1598,train_124.png,"[858.2857142857142, 689.0, 240.0, 293.85714285714266]",1316,2882,caries
1166,train_446.png,"[890.0, 860.0, 221.0, 288.0]",1504,2872,caries
1987,train_174.png,"[1936.893203883495, 502.9126213592233, 209.70873786407765, 308.7378640776699]",1316,2890,caries
983,train_79.png,"[672.5, 547.5, 115.0, 213.75]",976,1976,caries
504,train_137.png,"[1932.0, 879.0, 145.0, 321.0]",1504,2884,deep_caries
2790,train_149.png,"[891.0, 779.0, 160.0, 302.0]",1316,2812,caries
1766,train_104.png,"[993.0, 524.0, 92.44827586206907, 271.2413793103449]",1316,2712,caries
2046,train_507.png,"[1441.0, 370.0, 109.0, 352.0]",1316,2926,caries
2289,train_406.png,"[1626.0, 742.0, 207.0, 245.0]",1316,2856,deep_caries
343,train_663.png,"[985.8895705521471, 555.8282208588956, 46.01226993865032, 181.5950920245399]",976,1976,caries
1996,train_151.png,"[1140.0, 760.0, 170.0, 299.0]",1316,2984,deep_caries
2066,train_244.png,"[690.0, 888.0, 170.0, 320.0]",1504,2548,caries
2963,train_653.png,"[1716.6666666666667, 820.0, 112.33333333333326, 277.0]",1316,2873,caries
2773,train_481.png,"[219.83471074380165, 604.1322314049587, 231.40495867768598, 243.80165289256195]",1504,2480,caries
439,train_679.png,"[668.0, 744.0, 262.0, 289.0]",1504,2884,caries
1053,train_10.png,"[990.0, 780.0, 132.0, 302.0]",1316,2837,caries
512,train_687.png,"[900.0, 400.0, 139.13043478260875, 277.17391304347825]",1316,2883,caries
2896,train_268.png,"[784.7796610169491, 766.0, 242.37288135593235, 332.93220338983065]",1316,2657,caries
2348,train_439.png,"[637.0, 652.0, 145.0, 284.0]",1504,2872,caries
63,train_31.png,"[835.030303030303, 796.0, 251.0, 333.0]",1504,2872,caries
1694,train_115.png,"[1940.5714285714284, 393.0, 151.42857142857156, 235.57142857142844]",1316,2897,caries
1832,train_643.png,"[1020.253164556962, 652.5139664804469, 124.05063291139231, 350.01767908917327]",1316,2900,caries
1190,train_658.png,"[1727.3333333333335, 426.0, 145.66666666666652, 284.0]",1316,2656,caries
598,train_686.png,"[959.0, 730.0, 227.0, 302.0]",1504,2872,caries
1764,train_386.png,"[991.0, 769.0, 204.0, 309.0]",1316,2952,deep_caries
2915,train_426.png,"[1022.0, 761.0, 214.0, 258.0]",1504,2872,caries
833,train_255.png,"[1661.0, 787.0, 108.0, 278.0]",1316,2954,caries
3455,train_479.png,"[1709.0, 831.0, 107.0, 322.0]",1504,2872,caries
1539,train_14.png,"[871.0, 742.0, 211.0, 223.0]",1316,2828,periapical
283,train_493.png,"[794.3333333333334, 750.0, 186.1111111111111, 257.1111111111111]",1316,2843,caries
1808,train_685.png,"[2109.0, 847.0, 187.0, 333.0]",1504,2872,caries
204,train_271.png,"[2006.0, 658.0, 259.0, 275.0]",1316,2982,caries
3238,train_258.png,"[1681.0, 817.0, 149.0, 317.0]",1504,2872,deep_caries
1304,train_159.png,"[803.0714285714284, 248.21428571428567, 133.92857142857144, 325.0]",1316,2820,caries
1228,train_261.png,"[1805.0, 695.0, 200.0, 275.0]",1316,2923,caries
3380,train_323.png,"[1214.0, 828.0, 135.0, 333.0]",1504,2868,periapical
3347,train_34.png,"[1389.0, 578.0, 124.0, 347.0]",1504,2872,caries
3357,train_298.png,"[1973.0, 801.0, 202.0, 214.0]",1504,2628,caries
2584,train_109.png,"[1753.0, 450.0, 110.0, 326.0]",1504,2872,caries
2008,train_530.png,"[1624.0, 657.0, 139.33333333333348, 300.66666666666674]",1316,2828,caries
2877,train_539.png,"[2015.0, 701.0, 264.0, 213.0]",1316,2768,impacted
2237,train_396.png,"[1879.0, 556.0, 165.0, 330.0]",1504,2872,caries
2157,train_83.png,"[2122.2727272727275, 865.2892561983472, 241.32231404958657, 318.18181818181824]",1504,2872,caries
1749,train_118.png,"[636.0, 889.0, 214.0, 291.0]",1504,2688,caries
1109,train_130.png,"[1841.7721518987341, 472.15189873417717, 103.7974683544303, 173.41772151898738]",1316,2821,deep_caries
1807,train_685.png,"[1004.0, 529.0, 179.0, 306.0]",1504,2872,caries
3366,train_429.png,"[1047.7611940298507, 262.6865671641791, 88.05970149253722, 365.67164179104475]",1316,2854,caries
329,train_3.png,"[1905.0, 651.0, 163.0, 178.0]",1316,2682,impacted
2837,train_644.png,"[1236.0, 381.0, 108.0, 320.0]",1316,2899,deep_caries
2824,train_39.png,"[389.0, 799.0, 193.0, 238.0]",1504,2612,deep_caries
1192,train_658.png,"[1567.0, 704.0, 111.66666666666674, 314.66666666666674]",1316,2656,deep_caries
757,train_451.png,"[645.3684210526316, 725.0350877192982, 208.7719298245613, 275.43859649122805]",1316,2789,caries
418,train_447.png,"[1983.7837837837837, 411.5405405405405, 108.10810810810835, 194.59459459459458]",1316,2795,impacted
1872,train_301.png,"[854.0, 846.0, 110.0, 352.0]",1504,2512,caries
2964,train_653.png,"[1874.0, 771.0, 228.0, 241.66666666666674]",1316,2873,caries
3205,train_563.png,"[950.7936507936508, 711.1111111111111, 266.6666666666665, 344.44444444444457]",1316,2907,caries
2069,train_173.png,"[1964.0, 649.3333333333334, 202.66666666666652, 256.0]",1316,2982,impacted
675,train_456.png,"[1009.0, 426.0, 135.0, 299.0]",1316,2799,deep_caries
1742,train_413.png,"[1827.4285714285713, 659.9999999999999, 226.57142857142867, 340.0000000000001]",1316,2906,caries
1193,train_658.png,"[1833.3333333333335, 673.0, 230.0, 277.66666666666674]",1316,2656,caries
3456,train_479.png,"[2099.0, 557.0, 146.0, 274.0]",1504,2872,caries
2170,train_349.png,"[518.5840707964601, 637.1681415929203, 288.49557522123894, 214.15929203539827]",1316,2757,caries
581,train_656.png,"[1057.0, 649.0, 196.0, 310.0]",1350,3045,caries
1436,train_191.png,"[698.0, 820.0, 232.0, 272.0]",1504,2880,impacted
761,train_313.png,"[1847.0, 619.0, 174.0, 300.0]",1504,2872,caries
2350,train_439.png,"[1344.0, 843.0, 95.0, 272.0]",1504,2872,caries
1397,train_195.png,"[1976.0, 581.0, 162.0, 183.0]",1504,2872,impacted
2282,train_337.png,"[2004.0, 821.0, 286.0, 275.0]",1504,2872,caries
431,train_474.png,"[983.0, 693.0, 286.0, 265.0]",1316,2890,periapical
2496,train_168.png,"[1842.0, 531.0, 173.0, 298.0]",1504,2868,caries
2061,train_244.png,"[1729.0, 863.0, 204.0, 281.0]",1504,2548,deep_caries
2409,train_691.png,"[1828.9473684210527, 568.6842105263158, 90.7894736842104, 213.15789473684208]",1316,2827,caries
3459,train_607.png,"[929.0, 605.0, 222.0, 275.0]",1316,2870,caries
443,train_679.png,"[1920.0, 452.0, 201.0, 364.0]",1504,2884,caries
2462,train_375.png,"[1206.0, 819.0, 75.0, 262.0]",1504,2872,caries
2626,train_81.png,"[1794.0, 405.0, 150.0, 276.0]",1316,2860,caries
2751,train_523.png,"[881.0, 235.0, 174.0, 326.0]",1316,2942,caries
2598,train_492.png,"[679.0, 479.0, 184.0, 278.0]",1504,2868,impacted
3410,train_335.png,"[1728.0, 483.695652173913, 157.86956521739125, 314.13043478260875]",1316,2659,deep_caries
2762,train_640.png,"[929.0, 421.0, 179.0, 299.0]",1316,2920,caries
1639,train_312.png,"[1019.0, 927.0, 188.0, 250.0]",1504,2872,caries
1151,train_80.png,"[880.5135135135135, 781.0, 229.48648648648646, 284.0]",1316,2728,caries
1922,train_688.png,"[1711.0, 325.0, 161.0, 324.0]",1316,2864,caries
3475,train_194.png,"[807.3529411764705, 502.0, 147.05882352941182, 287.7058823529411]",1316,2800,caries
2004,train_680.png,"[1024.0, 678.0, 114.0, 347.0]",1316,2798,caries
868,train_505.png,"[889.0, 345.0, 188.0, 201.0]",1316,2930,impacted
2292,train_24.png,"[1761.3333333333333, 485.3333333333333, 129.33333333333348, 325.3333333333333]",1316,2980,caries
1981,train_161.png,"[647.0, 419.0, 192.0, 236.0]",1316,2674,impacted
2928,train_15.png,"[1800.0, 364.0, 186.0, 302.0]",1316,2904,caries
174,train_289.png,"[1303.0, 497.0, 93.0, 344.0]",1504,2868,caries
3285,train_235.png,"[1718.75, 669.75, 100.0, 362.5]",1316,2772,caries
3038,train_418.png,"[1717.4757281553398, 694.1747572815534, 224.27184466019412, 365.04854368932024]",1316,2840,caries
1476,train_181.png,"[1920.0, 841.0, 250.0, 327.0]",1504,2872,caries
2989,train_316.png,"[911.0, 327.7567567567568, 136.4324324324325, 285.2432432432432]",1316,2783,caries
2786,train_432.png,"[1788.0, 626.0, 162.0, 303.0]",1504,2868,deep_caries
1254,train_696.png,"[831.0, 630.0, 308.0, 297.0]",1316,2965,caries
2795,train_533.png,"[1800.875, 623.0, 295.0, 287.0]",1316,2964,caries
976,train_330.png,"[2162.0, 804.0, 173.0, 259.0]",1536,3076,deep_caries
696,train_240.png,"[1884.0, 433.0, 182.0, 200.0]",1316,2960,impacted
1869,train_301.png,"[967.0, 527.0, 137.0, 328.0]",1504,2512,periapical
3181,train_139.png,"[869.0, 374.0, 144.0, 344.0]",1316,2831,caries
803,train_273.png,"[1708.0, 929.0, 117.0, 306.0]",1504,2868,caries
2992,train_316.png,"[1681.8108108108108, 683.6216216216217, 196.18918918918916, 301.37837837837833]",1316,2783,caries
1885,train_105.png,"[1066.8571428571427, 762.0, 132.1428571428571, 375.4999999999998]",1316,2843,caries
2242,train_396.png,"[1110.0, 566.0, 117.0, 324.0]",1504,2872,caries
2006,train_530.png,"[1688.5555555555557, 318.1111111111111, 127.44444444444434, 310.8888888888889]",1316,2828,caries
2055,train_689.png,"[1625.581395348837, 758.9147286821706, 134.88372093023258, 355.0387596899225]",1316,2751,deep_caries
994,train_462.png,"[1577.0, 857.0, 90.0, 310.0]",1504,2872,caries
1699,train_214.png,"[622.0, 560.0, 118.0, 131.0]",976,1976,deep_caries
217,train_41.png,"[580.0, 282.0, 105.76923076923072, 189.46153846153845]",976,1976,caries
2321,train_106.png,"[1793.0, 717.0, 234.0, 314.0]",1316,2990,caries
2259,train_215.png,"[814.1732283464567, 706.2992125984252, 274.80314960629926, 333.85826771653535]",1316,2938,caries
2730,train_625.png,"[689.0, 814.0, 189.0, 204.0]",1316,2756,impacted
2612,train_517.png,"[1369.4214876033059, 538.8429752066116, 131.40495867768595, 373.55371900826447]",1504,2872,caries
3186,train_256.png,"[1980.4878048780486, 579.0, 176.51219512195144, 310.0]",1504,2884,caries
897,train_434.png,"[1680.4878048780486, 769.5121951219512, 280.4878048780488, 280.4878048780488]",1504,2496,caries
600,train_686.png,"[1045.0, 432.0, 156.0, 321.0]",1504,2872,periapical
3361,train_342.png,"[1701.5555555555554, 715.148148148148, 116.66666666666674, 307.4074074074074]",1316,2942,caries
1773,train_104.png,"[1105.0, 819.0, 104.58620689655186, 359.0]",1316,2712,caries
1450,train_88.png,"[2030.0, 542.0, 139.0, 301.0]",1504,2872,deep_caries
1106,train_596.png,"[1796.0, 397.0, 187.0, 282.0]",1316,2812,deep_caries
3166,train_427.png,"[1032.0754716981132, 249.0566037735849, 109.43396226415075, 415.0943396226414]",1316,2927,caries
3509,train_657.png,"[1916.0, 471.0, 127.0, 300.0]",1316,2851,caries
1080,train_22.png,"[610.0, 855.0, 181.66666666666674, 261.66666666666674]",1504,2884,impacted
3279,train_235.png,"[1031.25, 317.6666666666667, 143.75, 320.8333333333333]",1316,2772,caries
1793,train_565.png,"[1254.7169811320755, 416.9811320754717, 82.07547169811323, 285.84905660377353]",1316,2861,caries
2831,train_339.png,"[2050.0, 657.0, 217.0, 224.0]",1316,2922,impacted
1467,train_542.png,"[1120.0, 450.0, 89.0, 315.0]",1504,2872,caries
1280,train_623.png,"[760.0, 638.0, 192.0, 252.0]",1504,2872,caries
2287,train_406.png,"[1853.0, 653.0, 280.0, 277.0]",1316,2856,deep_caries
2876,train_359.png,"[1811.6279069767443, 675.5813953488372, 182.5581395348836, 304.65116279069775]",1316,2986,caries
3304,train_463.png,"[920.0, 766.0, 251.0, 246.0]",1316,2824,deep_caries
2870,train_359.png,"[2037.0, 373.0, 159.0, 235.0]",1316,2986,deep_caries
85,train_581.png,"[793.0, 618.7567567567568, 319.0, 296.2432432432432]",1316,2788,caries
3069,train_36.png,"[1805.0, 636.0, 143.0, 168.0]",1504,2544,impacted
2560,train_48.png,"[919.0, 667.0, 227.0, 303.0]",1316,2885,caries
2666,train_212.png,"[918.8571428571428, 717.142857142857, 225.14285714285722, 288.857142857143]",1316,2882,deep_caries
1031,train_155.png,"[722.0, 362.0, 234.0, 340.0]",1504,2868,caries
1536,train_14.png,"[2041.0, 382.0, 112.0, 239.0]",1316,2828,deep_caries
122,train_693.png,"[1285.0, 413.0, 134.0, 358.0]",1316,2827,periapical
481,train_431.png,"[593.0, 252.0, 183.0, 208.0]",1316,2838,impacted
741,train_266.png,"[642.5, 295.0, 102.5, 207.5]",976,1976,deep_caries
2153,train_59.png,"[750.4950495049505, 626.7326732673267, 230.69306930693062, 287.1287128712871]",1316,2862,caries
3091,train_553.png,"[806.0, 808.0, 250.0, 356.0]",1504,2872,periapical
1344,train_454.png,"[1747.0, 736.0, 113.0, 263.0]",1316,2981,caries
2532,train_208.png,"[1687.0, 922.0, 139.0, 269.0]",1504,2868,caries
2705,train_445.png,"[1017.0, 732.0, 119.0, 300.0]",1316,2774,caries
1370,train_477.png,"[1918.0, 891.0, 234.0, 299.0]",1504,2888,caries
1893,train_557.png,"[854.0, 411.0, 183.0, 273.0]",1316,2967,caries
372,train_617.png,"[932.0, 494.0, 184.0, 314.0]",1316,2882,caries
2756,train_523.png,"[1822.0, 331.0, 180.0, 238.0]",1316,2942,deep_caries
255,train_682.png,"[1077.0, 721.0, 151.0, 277.0]",1316,2905,deep_caries
1906,train_293.png,"[780.0, 272.0, 130.0, 301.0]",1316,2856,deep_caries
2794,train_533.png,"[1026.0, 706.0, 228.0, 248.0]",1316,2964,deep_caries
1461,train_373.png,"[889.0, 888.0, 212.0, 249.0]",1504,2872,deep_caries
2783,train_126.png,"[695.3488372093024, 490.0, 181.39534883720933, 249.53488372093022]",1316,2858,caries
326,train_3.png,"[1544.0, 720.0, 172.0, 252.94736842105272]",1316,2682,caries
2161,train_83.png,"[1712.0, 556.0, 121.0, 324.0]",1504,2872,caries
206,train_702.png,"[771.3636363636363, 410.9090909090909, 220.0, 345.4545454545454]",1316,2886,caries
